,Comment,Sentiment_Polarity,Sentiment_Label
0,in hindsight it's a very woke democrat story,0.2,Neutral
1,This dont look the bit as interesting as the show,0.5,Positive
2,"Yall do know ""they"" desperately want this to be a reality",-0.6,Negative
3,film bagus. semua agama. ini mirip kilafah tapi versi kristen. wajib semua nonton. gak akan nyesal..,0.0,Neutral
4,It's like the show without any of the actual disturbing aspects. Even the handmaid's uniform looks elegant. Why does it look like some bad lifetime romance thriller. lmfao,-0.17499999999999996,Neutral
5,Can we all admit that most films from the 80s-2000s aged TERRIBLY? The show did a MUCH better job at representing how scary and sinister this world is.😊,-0.18333333333333335,Neutral
6,omg!!!,0.0,Neutral
7,"Looks good for its times, but Hulu series is a masterpiece.",0.7,Positive
8,"Pretty sure Faye Dunaway ain’t having a baby in 1990, dystopia or no.",0.375,Positive
9,I kind of like how the whole think just screams it was made in the 1980s/1990s. This is such a different vision than the today TV show,0.2,Neutral
10,The start of the trailer explains a lot. The book just gives clues.,0.0,Neutral
11,Looks better than the stupid show,-0.14999999999999997,Neutral
12,RIP Natasha Richardson 🙏🙏🙏❤️,0.0,Neutral
13,Difícil conseguir la película de los 90s,0.0,Neutral
14,"Wow, Harold Pinter / Volcker Schlondorff.  How did I miss it?",0.1,Neutral
15,"1984 was so bad, this probably is better and the new versions are total trash.",-0.015909090909090873,Neutral
16,This looks way better than the awful series,-0.25,Negative
17,I never knew that was a movie adaptation before the series until now.,0.0,Neutral
18,i love old movies 😁😁😁😁😁❤,0.3,Positive
19,"This was an excellent movie for the 90s. Ahead of its time. Of course, the current one is better. But this one often gets unfairly criticized.",0.25,Positive
20,"i remember watching this on a local channel,wayback 93'.then i saw these on my fb newsfeed...i want to watch it again",0.0,Neutral
21,I'd like to watch it.  Seems pretty close to the shield on hulu,0.25,Positive
22,1:29 am i trippin or does that look like the same exact window in june's room in the show?! that would be cool if they used some of the same locations,0.165625,Neutral
23,who ened up here because of Mark and Claire Headley #blownforgood,0.0,Neutral
24,"""Republic of Giliud""",0.0,Neutral
25,Looks like a cheap soap opera to me,0.4,Positive
26,Haha this is so corny compared to the show and weird to see because I’m like whose who . Who’s the nick of this movie ? Whose commander fred and Serena?,-0.15,Neutral
27,Reminded me of that “We have…” so and so at home meme 😄,0.0,Neutral
28,"The American Government watched this film and realized its Sheeple STILL wouldn't realize this is what they have been working towards for many decades. They believe it all to be Fiction. 
Maybe only outsiders can see it...",0.16666666666666666,Neutral
29,Not the DVD box cover having Natasha look all sexy like it's hot being a handmaid. 😭I can't wait to watch this as I have a sneaking feeling it will capture almost none of the fear and dystopia of women's rights being obliterated by Gilead.,0.375,Positive
30,"think about the times... tv has changed so much with the subscription channels etc... there are more ""dark"" shows now and the type of tv that pushes the envelope so to speak could not exist in the early 90's. There is no way any movie interpretation of the book could come close to Hulu's back then.",0.12999999999999998,Neutral
31,"Even though this movie may have not been the best adaptation of The Handmaid’s Tale, I do like the dreamlike quality that this seems to have.",1.0,Positive
32,I had no idea a 1990 version of The Handmaid's Tale existed!,0.0,Neutral
33,So Muslims.,0.0,Neutral
34,It’s time Boys! 😁😁😁,0.0,Neutral
35,Hated this film.,-0.9,Negative
36,Can’t believe that is the head teacher and the dad from Wild Child!,0.125,Neutral
37,They’re making this movie harder to find,-0.1,Neutral
38,"i was always a little skeptical when ppl say ""hollywood's been making far left garbage for years"" but now i've seen this trailer",-0.146875,Neutral
39,Great cast!,1.0,Positive
40,Leftist  garbage,-0.05,Neutral
41,"Fast Forward to 2022:  I had never heard anything about it until recently.  I don't have Hulu.
In 1985 I was a young mother of two and never went shopping for best sellers; so, never even saw it advertised.  In 1990 never saw it advertised.  I heard the name more recently, but, never paid attention at all.  I figured it must be some kind of romance novel.
Now I see on the news women rudely interrupting worship service wearing getup reminiscent of the pilgrims and I had to find out what it was about.  If I wasn't a Christian I guess I might feel like all these protesters, too.  But, I am, and I actually resent the whole thing, now that I know what it is about.
Christians would never do what is in that book and movie.  And certainly God never commanded  the Old Testament characters of Rachel and Leah to do what they did.  You see, the Holy Bible tells   what people did, warts and all.  It doesn't hide anything.  Keep that in mind if you read or see The Handmaid's Tale.  But, actually, I would not advise it.
Read God's Word instead.",0.17428571428571432,Neutral
42,Why did the trailer tell the whole story-,0.2,Neutral
43,"Whoa! Time out! (I say that if I am shocked.). I didn’t know that this was a movie back in 1990. This is the first time that, I heard or seen that, there is a movie based on the book of the same name. That’s awesome!",0.11000000000000001,Neutral
44,Much better looking handmaid than the fugly one that did the remake.,0.5,Positive
45,I did not know there was a movie of the handmaid‘s tale. This series is really good it took me an entire month to finish it,0.35,Positive
46,"N. H. II- Poems of Joy 1-5 and N. H. II- Humble Poems 1-5 are on YouTube, and here is a link to one of them:
https://www.youtube.com/watch?v=JQjksOsSKXw",0.30000000000000004,Positive
47,"Man, if I had seen this trailer when it came out, I would’ve been soooo pissed that they’d given away SO much of the plot in this trailer. Why do trailers do that so often?!? It’s infuriating lol",0.15000000000000002,Neutral
48,"I personally like this version. I caught it by chance one night in the 90s, it had already started, and I remember being very intrigued by the story, didn't know why they were all dressed in red. I didn't know what the title was until the hype went up five years ago for the news of the Hulu series, so I found out it was another version of that very weird movie I saw that night. Immediately purchased the book and at once I was sucked in and watched the series. That's why I don't dislike this first rendition, it has an important role in my love for The handmaid's tale.",0.09999999999999999,Neutral
49,I think this movie was on AMC about 10 years prior to the show. The movie was only aired once on TV. The movie made Natasha Richards more well known till she died 8 years before the show began.,0.15,Neutral
50,Eu aqui achando que era novo,0.0,Neutral
51,The lady in the thumbnail lowkey looks like Gabby Hanna lmao,0.6,Positive
52,This film was just bad 😂,-0.6999999999999998,Negative
53,I've seen all 4 seasons and I'd rather just have this and the book. The show drags cus of Moss.,0.0,Neutral
54,Shocked that this was actually a movie !!!,-0.35,Negative
55,I’ve never heard of this movie. It must have gone straight to video.,0.2,Neutral
56,So this is what Cora is doing when she's in America?,0.0,Neutral
57,Was this a movie or a series?,0.0,Neutral
58,"This movie is more accurate to the book IMHO, it's just so hypocrite that the racism is gone on hulu's version, also I wonder how they would manage the serie without copyingcat Lost and black mirror all the time, I like hulu's but it overhyped",0.2444444444444445,Positive
59,Lol this trailer gives away the whole story,0.5,Positive
60,"Gilead, Texas",0.0,Neutral
61,Texas brought me here,0.0,Neutral
62,This looks like a good ensemble cast in this movie.. Victoria Tennant also played the evil mom in Flowers in the Attic...,-0.15000000000000002,Neutral
63,This looks like a good ensemble cast in this movie.. Victoria Tennant also played the evil mom in Flowers in the Attic...,-0.15000000000000002,Neutral
64,É O QUEEEEE?? 🤯,0.0,Neutral
65,So there’s a sterility crisis…. these “bad guys” seem pretty good,0.08333333333333337,Neutral
66,the tv show is much better,0.5,Positive
67,the morally corrupt Faye Dunanway?! from the OJ trials and housewives?! oh hell,-0.78125,Negative
68,This looks more like a soap opera,0.5,Positive
69,This looks terrible. LMAO!,-0.125,Neutral
70,What’s terrifying is that our society is getting ever so close to this.,-1.0,Negative
71,Very apt for what is going on now..THEY produce films to let us know their plans ..FACT,0.78,Positive
72,"At least they used some good looking actors in the movie, that ugly shrew on the TV series would make it very difficult to get it up so you could get her pregnant, and she is the lead actor in the series.",-0.12333333333333334,Neutral
73,Predictive Programming.,0.0,Neutral
74,the shitty acting ruins it. no one seems exceptionally bothered that theyre under totalitarian rule lmfao,0.1722222222222222,Neutral
75,This is hilarious. It’s like Dallas 😂😂😂,0.5,Positive
76,"The Hulu take on this makes me think something like this could actually happen. Especially when June says that she was asleep before but now she is awake, and she didn’t realize what was going on until it hit everyone like bricks (my words interpreted.)",0.0,Neutral
77,"The disgusting sphere booly strengthen because slice nomenclaturally talk atop a cloistered needle. private, new toothpaste",-0.2878787878787879,Negative
78,Hell of a cast damn. So many legends 🙏,0.5,Positive
79,I was looking for a new show to watch and I hadn't had anyone really tell me about this show.  I saw the poster and  I thought it was a period piece. And its starts with a car chase. I was confused. But 4 seasons later I'm still here. This show is awesome and I'm only just learning that there was a movie of it.,0.15606060606060604,Neutral
80,"So, THAT's what it's about...huh, go figure.",0.0,Neutral
81,"These are all great actors but after Hulu's version, the only June in my eyes is Elizabeth Moss.",0.4,Positive
82,its not a patch on the TV series,0.0,Neutral
83,Es la mama de las gemelas de Disney,0.0,Neutral
84,Wow! What a cast! Still won't watch it (I did read the book though).,0.15625,Neutral
85,"it’s a damn shame that natasha richardson (offred) passed away, she was a great actress. aidan quinn (nick) was and still is so extraordinarily handsome; those eyes are dreamy.",0.65,Positive
86,"First it was The Shining mini series I found out about and now The Handmaids Tale, jeez it’s like I’m going through a Mandela effect right now and I don’t like it.",0.26785714285714285,Positive
87,So much better than the show,0.5,Positive
88,The only thing that bothers me here is that handmades are wearing make-up,0.0,Neutral
89,Blond actress looks so much like Timonthy Chalamet,0.2,Neutral
90,"Honestly, these scares me out more then the horror movies, because it is more realistic. Just scary.",0.25333333333333335,Positive
91,Is recent future grammatically correct ?,0.0,Neutral
92,wow this was soooooooooooo disappointing compared to the series. I'm actually very upset that i wasted my time to watch.,-0.125,Neutral
93,"She can't get pregnant by the man who protects her in terms of finance/security.
So she aims to get pregnant by another man.

Alpha fux, beta bux. Perfect female fantasy. Wrapped in all kinds of mental gymnastics.",0.3133333333333333,Positive
94,This embarrassingly bad.,-0.6999999999999998,Negative
95,This Offred is beautiful.,0.85,Positive
96,geez that looks worse than the old atar wars movies,-0.15000000000000002,Neutral
97,I had no idea that handmaids tale was based from a film,0.0,Neutral
98,"I remember when this first came out.  Critics absolutely shit on it.  I ended up renting it several yrs later after reading the book and it wasn't great, but not as awful as many would think.  It's just peak early 90's cinema.  The series is a million times better, but this was a good start.",0.16499999999999998,Neutral
99,Wow,0.1,Neutral
100,So did they understand the story or?,0.0,Neutral
101,"This looks absolutely terrible

I want to see it",-1.0,Negative
102,"The awful push lately dare because citizenship transmurally behave save a fat faulty racing. faded, next noodle",-0.43333333333333335,Negative
103,This film was so bad.,-0.6999999999999998,Negative
104,"Damn, this is like the trailers from Grindhouse. It's really hard to accept that they were still like this within my lifetime and I was just too young to remember.",-0.09583333333333334,Neutral
105,"The gleaming operation medicinally guide because vise counterintuitively waste barring a smelly catamaran. piquant, axiomatic road",-0.1,Neutral
106,Spoiler alert omg,0.0,Neutral
107,"Oh snappp!
I much find where I can watch this!",0.25,Positive
108,"I mean, I know it was a different time then but for what's it worth, I feel like though the book is quite old, it was kinda ahead of its time. Hence why the TV show is much more slappy than this, but it's still good nevertheless. And good dystopian societies have their citizens not knowing better.... until one rebel wakes up and realises. 
RIP to Natasha Richardson as well, not her best performance in my opinion, but still can't deny her talent.
Religious hypocrisy has always been one of the most long-standing issues in society,  but hey this is a satire of several things about humanity. How many parallels this genre has may be more subtle than others IRL.",0.31027777777777776,Positive
109,Elizabeth McGovern played Moria she and Fay Dunway should be in the series,0.0,Neutral
110,It blows my mind how trailers in the past have narrators. I kinda miss that sort of thing. HAHAHAH,-0.25,Negative
111,Well the good/awful people of Giliad certainly lacked the spark of their modern counterparts.,0.20714285714285713,Positive
112,Trailers used to be so awful.,-1.0,Negative
113,"This subject matter: of The Handmaid's Tale - it's dark waters - but it never seems to dance on the screen.  It's so clunky.  The directing, acting editing...  I am a filmmaker, and I know it's hard work: so I don't me to sling mud.  It's just that I wish projects like these had more flow...",-0.021666666666666678,Neutral
114,This looks more like a venezolan telenovela.,0.5,Positive
115,The Acting is so bad it feels like a 70's porno😂😂😂,-0.3499999999999999,Negative
116,looks porn kkkkkkkk,0.0,Neutral
117,The show and trailer along with the photo give me nothing but make gaze vibes,0.0,Neutral
118,Wow lol I didn’t even know a movie with made ... this looks like the Disney version or the lifetime version of the show lol,0.5666666666666668,Positive
119,a lot of big stars but i never heard of it,0.0,Neutral
120,This doesn't look entertaining at ALL. No wonder I don't remember it growing up. The acting in this looks like a dry run in a high school theater production. Now the show is the best show on TV right now. Bless the early 90's... I mean- they tried lol,0.2740608465608465,Positive
121,"Holy shit, young Cora Crawley",-0.05,Neutral
122,RIP Natasha Richardson,0.0,Neutral
123,The acting is TRASH!,0.0,Neutral
124,"This looks nowhere near as terrifying as the new HULU show, so glad they remade it. However, im still interested in watching.",-0.0027272727272727336,Neutral
125,The red outfit looks so much better in this one with the red veil,0.16666666666666666,Neutral
126,Going to look for this on Prime. LOL,0.8,Positive
127,"Ick. So glad they remade it.

""We get out together baby"" 😍

Ugh, vom.",0.5,Positive
128,Omg Natasha Richardson i didn't know she was playing here 💔,0.0,Neutral
129,"The successful motorboat extremely box because sister bacteriologically kick unlike a goofy slipper. ruthless, whimsical geology",-0.075,Neutral
130,Aaaah! The good old times where the video was the highest form of communication!,0.4125,Positive
131,"Oh God, they really took Hollywood liberties with this one",0.2,Neutral
